from	to
id_171	Experience (Buckets)::2-5
id_172	Experience (Buckets)::2-5
id_173	Experience (Buckets)::2-5
id_174	Experience (Buckets)::2-5
id_175	Experience (Buckets)::2-5
id_176	Experience (Buckets)::2-5
id_177	Experience (Buckets)::2-5
id_178	Experience (Buckets)::2-5
id_179	Experience (Buckets)::2-5
id_180	Experience (Buckets)::2-5
id_181	Experience (Buckets)::2-5
id_182	Experience (Buckets)::2-5
id_183	Experience (Buckets)::2-5
id_184	Experience (Buckets)::2-5
id_185	Experience (Buckets)::2-5
id_186	Experience (Buckets)::2-5
id_187	Experience (Buckets)::2-5
id_188	Experience (Buckets)::2-5
id_189	Experience (Buckets)::2-5
id_190	Experience (Buckets)::2-5
id_191	Experience (Buckets)::2-5
id_192	Experience (Buckets)::2-5
id_193	Experience (Buckets)::2-5
id_194	Experience (Buckets)::2-5
id_195	Experience (Buckets)::2-5
id_196	Experience (Buckets)::2-5
id_197	Experience (Buckets)::2-5
id_198	Experience (Buckets)::2-5
id_199	Experience (Buckets)::2-5
id_200	Experience (Buckets)::2-5
id_201	Experience (Buckets)::2-5
id_202	Experience (Buckets)::2-5
id_203	Experience (Buckets)::2-5
id_204	Experience (Buckets)::2-5
id_205	Experience (Buckets)::2-5
id_206	Experience (Buckets)::2-5
id_207	Experience (Buckets)::2-5
id_208	Experience (Buckets)::2-5
id_209	Experience (Buckets)::2-5
id_210	Experience (Buckets)::2-5
id_211	Experience (Buckets)::2-5
id_212	Experience (Buckets)::2-5
id_213	Experience (Buckets)::2-5
id_214	Experience (Buckets)::2-5
id_215	Experience (Buckets)::2-5
id_216	Experience (Buckets)::2-5
id_217	Experience (Buckets)::2-5
id_218	Experience (Buckets)::2-5
id_219	Experience (Buckets)::2-5
id_220	Experience (Buckets)::2-5
id_221	Experience (Buckets)::2-5
id_222	Experience (Buckets)::2-5
id_223	Experience (Buckets)::2-5
id_224	Experience (Buckets)::2-5
id_225	Experience (Buckets)::2-5
id_226	Experience (Buckets)::2-5
id_227	Experience (Buckets)::2-5
id_228	Experience (Buckets)::2-5
id_229	Experience (Buckets)::2-5
id_230	Experience (Buckets)::2-5
id_231	Experience (Buckets)::2-5
id_232	Experience (Buckets)::2-5
id_233	Experience (Buckets)::2-5
id_234	Experience (Buckets)::2-5
id_235	Experience (Buckets)::2-5
id_236	Experience (Buckets)::2-5
id_237	Experience (Buckets)::2-5
id_238	Experience (Buckets)::2-5
id_239	Experience (Buckets)::2-5
id_240	Experience (Buckets)::2-5
id_241	Experience (Buckets)::2-5
id_242	Experience (Buckets)::2-5
id_243	Experience (Buckets)::2-5
id_244	Experience (Buckets)::2-5
id_245	Experience (Buckets)::2-5
id_246	Experience (Buckets)::2-5
id_247	Experience (Buckets)::2-5
id_248	Experience (Buckets)::2-5
id_249	Experience (Buckets)::2-5
id_250	Experience (Buckets)::2-5
id_251	Experience (Buckets)::2-5
id_252	Experience (Buckets)::2-5
id_253	Experience (Buckets)::2-5
id_254	Experience (Buckets)::2-5
id_255	Experience (Buckets)::2-5
id_256	Experience (Buckets)::2-5
id_257	Experience (Buckets)::2-5
id_258	Experience (Buckets)::2-5
id_259	Experience (Buckets)::2-5
id_260	Experience (Buckets)::2-5
id_261	Experience (Buckets)::2-5
id_262	Experience (Buckets)::2-5
id_263	Experience (Buckets)::2-5
id_264	Experience (Buckets)::2-5
id_265	Experience (Buckets)::2-5
id_266	Experience (Buckets)::2-5
id_267	Experience (Buckets)::2-5
id_268	Experience (Buckets)::2-5
id_269	Experience (Buckets)::2-5
id_270	Experience (Buckets)::2-5
id_271	Experience (Buckets)::2-5
id_272	Experience (Buckets)::2-5
id_273	Experience (Buckets)::2-5
id_274	Experience (Buckets)::2-5
id_275	Experience (Buckets)::2-5
id_276	Experience (Buckets)::2-5
id_277	Experience (Buckets)::2-5
id_278	Experience (Buckets)::2-5
id_279	Experience (Buckets)::2-5
id_280	Experience (Buckets)::2-5
id_281	Experience (Buckets)::2-5
id_282	Experience (Buckets)::2-5
id_283	Experience (Buckets)::2-5
id_284	Experience (Buckets)::2-5
id_285	Experience (Buckets)::2-5
id_286	Experience (Buckets)::2-5
id_287	Experience (Buckets)::2-5
id_288	Experience (Buckets)::2-5
id_289	Experience (Buckets)::2-5
id_290	Experience (Buckets)::2-5
id_291	Experience (Buckets)::2-5
id_292	Experience (Buckets)::2-5
id_293	Experience (Buckets)::2-5
id_294	Experience (Buckets)::2-5
id_295	Experience (Buckets)::2-5
id_296	Experience (Buckets)::2-5
id_297	Experience (Buckets)::2-5
id_298	Experience (Buckets)::2-5
id_299	Experience (Buckets)::2-5
id_300	Experience (Buckets)::2-5
id_301	Experience (Buckets)::2-5
id_302	Experience (Buckets)::2-5
id_303	Experience (Buckets)::2-5
id_304	Experience (Buckets)::2-5
id_305	Experience (Buckets)::2-5
id_306	Experience (Buckets)::2-5
id_307	Experience (Buckets)::2-5
id_308	Experience (Buckets)::2-5
id_309	Experience (Buckets)::2-5
id_310	Experience (Buckets)::2-5
id_311	Experience (Buckets)::2-5
id_312	Experience (Buckets)::2-5
id_313	Experience (Buckets)::2-5
id_314	Experience (Buckets)::2-5
id_315	Experience (Buckets)::2-5
id_316	Experience (Buckets)::2-5
id_317	Experience (Buckets)::2-5
id_318	Experience (Buckets)::2-5
id_319	Experience (Buckets)::2-5
id_320	Experience (Buckets)::2-5
id_321	Experience (Buckets)::2-5
id_322	Experience (Buckets)::2-5
id_323	Experience (Buckets)::2-5
id_324	Experience (Buckets)::2-5
id_325	Experience (Buckets)::2-5
id_326	Experience (Buckets)::2-5
id_327	Experience (Buckets)::2-5
id_328	Experience (Buckets)::2-5
id_329	Experience (Buckets)::2-5
id_330	Experience (Buckets)::2-5
id_331	Experience (Buckets)::2-5
id_332	Experience (Buckets)::2-5
id_333	Experience (Buckets)::2-5
id_334	Experience (Buckets)::2-5
id_335	Experience (Buckets)::2-5
id_336	Experience (Buckets)::2-5
id_337	Experience (Buckets)::2-5
id_338	Experience (Buckets)::2-5
id_339	Experience (Buckets)::2-5
id_340	Experience (Buckets)::2-5
id_341	Experience (Buckets)::2-5
id_342	Experience (Buckets)::2-5
id_343	Experience (Buckets)::2-5
id_344	Experience (Buckets)::2-5
id_345	Experience (Buckets)::2-5
id_346	Experience (Buckets)::2-5
id_347	Experience (Buckets)::2-5
id_348	Experience (Buckets)::2-5
id_349	Experience (Buckets)::2-5
id_350	Experience (Buckets)::2-5
id_351	Experience (Buckets)::2-5
id_352	Experience (Buckets)::2-5
id_353	Experience (Buckets)::2-5
id_354	Experience (Buckets)::2-5
id_355	Experience (Buckets)::2-5
id_356	Experience (Buckets)::2-5
id_357	Experience (Buckets)::2-5
id_358	Experience (Buckets)::2-5
id_359	Experience (Buckets)::2-5
id_360	Experience (Buckets)::2-5
id_361	Experience (Buckets)::2-5
id_362	Experience (Buckets)::2-5
id_363	Experience (Buckets)::2-5
id_364	Experience (Buckets)::2-5
id_365	Experience (Buckets)::2-5
id_366	Experience (Buckets)::2-5
id_367	Experience (Buckets)::2-5
id_368	Experience (Buckets)::2-5
id_369	Experience (Buckets)::2-5
id_370	Experience (Buckets)::2-5
id_371	Experience (Buckets)::2-5
id_372	Experience (Buckets)::2-5
id_373	Experience (Buckets)::2-5
id_374	Experience (Buckets)::2-5
id_375	Experience (Buckets)::2-5
id_376	Experience (Buckets)::2-5
id_377	Experience (Buckets)::2-5
id_378	Experience (Buckets)::2-5
id_379	Experience (Buckets)::2-5
id_380	Experience (Buckets)::2-5
id_381	Experience (Buckets)::2-5
id_382	Experience (Buckets)::2-5
id_383	Experience (Buckets)::6-9
id_384	Experience (Buckets)::6-9
id_385	Experience (Buckets)::6-9
id_386	Experience (Buckets)::6-9
id_387	Experience (Buckets)::6-9
id_388	Experience (Buckets)::6-9
id_389	Experience (Buckets)::6-9
id_390	Experience (Buckets)::6-9
id_391	Experience (Buckets)::6-9
id_392	Experience (Buckets)::6-9
id_393	Experience (Buckets)::6-9
id_394	Experience (Buckets)::6-9
id_395	Experience (Buckets)::6-9
id_396	Experience (Buckets)::6-9
id_397	Experience (Buckets)::6-9
id_398	Experience (Buckets)::6-9
id_399	Experience (Buckets)::6-9
id_400	Experience (Buckets)::6-9
id_401	Experience (Buckets)::6-9
id_402	Experience (Buckets)::6-9
id_403	Experience (Buckets)::6-9
id_404	Experience (Buckets)::6-9
id_405	Experience (Buckets)::6-9
id_406	Experience (Buckets)::6-9
id_407	Experience (Buckets)::6-9
id_408	Experience (Buckets)::6-9
id_409	Experience (Buckets)::6-9
id_410	Experience (Buckets)::6-9
id_411	Experience (Buckets)::6-9
id_412	Experience (Buckets)::6-9
id_413	Experience (Buckets)::6-9
id_414	Experience (Buckets)::6-9
id_415	Experience (Buckets)::6-9
id_416	Experience (Buckets)::6-9
id_417	Experience (Buckets)::6-9
id_418	Experience (Buckets)::6-9
id_419	Experience (Buckets)::6-9
id_420	Experience (Buckets)::6-9
id_421	Experience (Buckets)::6-9
id_422	Experience (Buckets)::6-9
id_423	Experience (Buckets)::6-9
id_424	Experience (Buckets)::6-9
id_425	Experience (Buckets)::6-9
id_426	Experience (Buckets)::6-9
id_427	Experience (Buckets)::6-9
id_428	Experience (Buckets)::6-9
id_429	Experience (Buckets)::6-9
id_430	Experience (Buckets)::6-9
id_431	Experience (Buckets)::6-9
id_432	Experience (Buckets)::6-9
id_433	Experience (Buckets)::6-9
id_434	Experience (Buckets)::6-9
id_435	Experience (Buckets)::6-9
id_436	Experience (Buckets)::6-9
id_437	Experience (Buckets)::6-9
id_438	Experience (Buckets)::6-9
id_439	Experience (Buckets)::6-9
id_440	Experience (Buckets)::6-9
id_441	Experience (Buckets)::6-9
id_442	Experience (Buckets)::6-9
id_443	Experience (Buckets)::6-9
id_444	Experience (Buckets)::6-9
id_445	Experience (Buckets)::6-9
id_446	Experience (Buckets)::6-9
id_447	Experience (Buckets)::6-9
id_448	Experience (Buckets)::6-9
id_449	Experience (Buckets)::6-9
id_450	Experience (Buckets)::6-9
id_451	Experience (Buckets)::6-9
id_452	Experience (Buckets)::6-9
id_453	Experience (Buckets)::6-9
id_454	Experience (Buckets)::6-9
id_455	Experience (Buckets)::6-9
id_456	Experience (Buckets)::6-9
id_457	Experience (Buckets)::6-9
id_458	Experience (Buckets)::6-9
id_459	Experience (Buckets)::6-9
id_460	Experience (Buckets)::6-9
id_461	Experience (Buckets)::6-9
id_462	Experience (Buckets)::6-9
id_463	Experience (Buckets)::6-9
id_464	Experience (Buckets)::6-9
id_465	Experience (Buckets)::6-9
id_466	Experience (Buckets)::6-9
id_467	Experience (Buckets)::6-9
id_468	Experience (Buckets)::6-9
id_469	Experience (Buckets)::6-9
id_470	Experience (Buckets)::6-9
id_471	Experience (Buckets)::6-9
id_472	Experience (Buckets)::6-9
id_473	Experience (Buckets)::6-9
id_474	Experience (Buckets)::6-9
id_475	Experience (Buckets)::6-9
id_476	Experience (Buckets)::6-9
id_477	Experience (Buckets)::6-9
id_478	Experience (Buckets)::6-9
id_479	Experience (Buckets)::6-9
id_480	Experience (Buckets)::6-9
id_481	Experience (Buckets)::6-9
id_482	Experience (Buckets)::6-9
id_483	Experience (Buckets)::6-9
id_484	Experience (Buckets)::6-9
id_485	Experience (Buckets)::6-9
id_486	Experience (Buckets)::6-9
id_487	Experience (Buckets)::6-9
id_488	Experience (Buckets)::6-9
id_489	Experience (Buckets)::6-9
id_490	Experience (Buckets)::6-9
id_491	Experience (Buckets)::6-9
id_492	Experience (Buckets)::6-9
id_493	Experience (Buckets)::6-9
id_494	Experience (Buckets)::6-9
id_495	Experience (Buckets)::6-9
id_496	Experience (Buckets)::6-9
id_497	Experience (Buckets)::6-9
id_498	Experience (Buckets)::6-9
id_499	Experience (Buckets)::6-9
id_500	Experience (Buckets)::6-9
id_501	Experience (Buckets)::6-9
id_502	Experience (Buckets)::6-9
id_503	Experience (Buckets)::6-9
id_504	Experience (Buckets)::6-9
id_505	Experience (Buckets)::6-9
id_506	Experience (Buckets)::6-9
id_507	Experience (Buckets)::6-9
id_508	Experience (Buckets)::6-9
id_509	Experience (Buckets)::10+
id_510	Experience (Buckets)::10+
id_511	Experience (Buckets)::10+
id_512	Experience (Buckets)::10+
id_513	Experience (Buckets)::10+
id_514	Experience (Buckets)::10+
id_515	Experience (Buckets)::10+
id_516	Experience (Buckets)::10+
id_517	Experience (Buckets)::10+
id_518	Experience (Buckets)::10+
id_519	Experience (Buckets)::10+
id_520	Experience (Buckets)::10+
id_521	Experience (Buckets)::10+
id_522	Experience (Buckets)::10+
id_523	Experience (Buckets)::10+
id_524	Experience (Buckets)::10+
id_525	Experience (Buckets)::10+
id_526	Experience (Buckets)::10+
id_527	Experience (Buckets)::10+
id_528	Experience (Buckets)::10+
id_529	Experience (Buckets)::10+
id_530	Experience (Buckets)::10+
id_531	Experience (Buckets)::10+
id_532	Experience (Buckets)::10+
id_533	Experience (Buckets)::10+
id_534	Experience (Buckets)::10+
id_535	Experience (Buckets)::10+
id_536	Experience (Buckets)::10+
id_537	Experience (Buckets)::10+
id_538	Experience (Buckets)::10+
id_539	Experience (Buckets)::10+
id_540	Experience (Buckets)::10+
id_541	Experience (Buckets)::10+
id_542	Experience (Buckets)::10+
id_543	Experience (Buckets)::10+
id_544	Experience (Buckets)::10+
id_545	Experience (Buckets)::10+
id_546	Experience (Buckets)::10+
id_547	Experience (Buckets)::10+
id_548	Experience (Buckets)::10+
id_549	Experience (Buckets)::10+
id_550	Experience (Buckets)::10+
id_551	Experience (Buckets)::10+
id_552	Experience (Buckets)::10+
id_553	Experience (Buckets)::10+
id_554	Experience (Buckets)::10+
id_555	Experience (Buckets)::10+
id_556	Experience (Buckets)::10+
id_557	Experience (Buckets)::10+
id_558	Experience (Buckets)::10+
id_559	Experience (Buckets)::10+
id_560	Experience (Buckets)::10+
id_561	Experience (Buckets)::10+
id_562	Experience (Buckets)::10+
id_563	Experience (Buckets)::10+
id_564	Experience (Buckets)::10+
id_565	Experience (Buckets)::10+
id_566	Experience (Buckets)::10+
id_567	Experience (Buckets)::10+
id_568	Experience (Buckets)::10+
id_569	Experience (Buckets)::10+
id_570	Experience (Buckets)::10+
id_571	Experience (Buckets)::10+
id_572	Experience (Buckets)::10+
id_573	Experience (Buckets)::10+
id_574	Experience (Buckets)::10+
id_575	Experience (Buckets)::10+
id_576	Experience (Buckets)::10+
id_577	Experience (Buckets)::10+
id_578	Experience (Buckets)::10+
id_579	Experience (Buckets)::10+
id_580	Experience (Buckets)::10+
id_581	Experience (Buckets)::10+
id_582	Experience (Buckets)::10+
id_583	Experience (Buckets)::10+
id_584	Experience (Buckets)::10+
id_585	Experience (Buckets)::10+
id_586	Experience (Buckets)::10+
id_587	Experience (Buckets)::10+
id_588	Experience (Buckets)::10+
id_589	Experience (Buckets)::10+
id_590	Experience (Buckets)::10+
id_591	Experience (Buckets)::10+
id_592	Experience (Buckets)::10+
id_593	Experience (Buckets)::10+
id_594	Experience (Buckets)::10+
id_595	Experience (Buckets)::10+
id_596	Experience (Buckets)::10+
id_597	Experience (Buckets)::10+
id_598	Experience (Buckets)::10+
id_599	Experience (Buckets)::10+
id_600	Experience (Buckets)::10+
id_601	Experience (Buckets)::10+
id_602	Experience (Buckets)::10+
id_603	Experience (Buckets)::10+
id_604	Experience (Buckets)::10+
id_605	Experience (Buckets)::10+
id_606	Experience (Buckets)::10+
id_607	Experience (Buckets)::10+
id_608	Experience (Buckets)::10+
id_609	Experience (Buckets)::10+
id_610	Experience (Buckets)::10+
id_611	Experience (Buckets)::10+
id_612	Experience (Buckets)::10+
id_613	Experience (Buckets)::10+
id_614	Experience (Buckets)::10+
id_615	Experience (Buckets)::10+
id_616	Experience (Buckets)::10+
id_617	Experience (Buckets)::10+
id_618	Experience (Buckets)::10+
id_619	Experience (Buckets)::10+
id_620	Experience (Buckets)::10+
id_621	Experience (Buckets)::10+
id_622	Experience (Buckets)::10+
id_623	Experience (Buckets)::10+
id_624	Experience (Buckets)::10+
id_625	Experience (Buckets)::10+
id_626	Experience (Buckets)::10+
id_627	Experience (Buckets)::10+
id_1	How many years have you been doing data visualization?::0
id_2	How many years have you been doing data visualization?::0
id_3	How many years have you been doing data visualization?::0
id_4	How many years have you been doing data visualization?::0
id_5	How many years have you been doing data visualization?::0
id_6	How many years have you been doing data visualization?::0
id_7	How many years have you been doing data visualization?::0
id_8	How many years have you been doing data visualization?::0
id_9	How many years have you been doing data visualization?::0
id_10	How many years have you been doing data visualization?::0
id_11	How many years have you been doing data visualization?::0
id_12	How many years have you been doing data visualization?::0
id_13	How many years have you been doing data visualization?::1
id_14	How many years have you been doing data visualization?::1
id_15	How many years have you been doing data visualization?::1
id_16	How many years have you been doing data visualization?::1
id_17	How many years have you been doing data visualization?::1
id_18	How many years have you been doing data visualization?::1
id_19	How many years have you been doing data visualization?::1
id_20	How many years have you been doing data visualization?::1
id_21	How many years have you been doing data visualization?::1
id_22	How many years have you been doing data visualization?::1
id_23	How many years have you been doing data visualization?::1
id_24	How many years have you been doing data visualization?::1
id_25	How many years have you been doing data visualization?::1
id_26	How many years have you been doing data visualization?::1
id_27	How many years have you been doing data visualization?::1
id_28	How many years have you been doing data visualization?::1
id_29	How many years have you been doing data visualization?::1
id_30	How many years have you been doing data visualization?::1
id_31	How many years have you been doing data visualization?::1
id_32	How many years have you been doing data visualization?::1
id_33	How many years have you been doing data visualization?::1
id_34	How many years have you been doing data visualization?::1
id_35	How many years have you been doing data visualization?::1
id_36	How many years have you been doing data visualization?::1
id_37	How many years have you been doing data visualization?::1
id_38	How many years have you been doing data visualization?::1
id_39	How many years have you been doing data visualization?::1
id_40	How many years have you been doing data visualization?::1
id_41	How many years have you been doing data visualization?::1
id_42	How many years have you been doing data visualization?::1
id_43	How many years have you been doing data visualization?::1
id_44	How many years have you been doing data visualization?::1
id_45	How many years have you been doing data visualization?::1
id_46	How many years have you been doing data visualization?::1
id_47	How many years have you been doing data visualization?::1
id_48	How many years have you been doing data visualization?::1
id_49	How many years have you been doing data visualization?::1
id_50	How many years have you been doing data visualization?::1
id_51	How many years have you been doing data visualization?::1
id_52	How many years have you been doing data visualization?::1
id_53	How many years have you been doing data visualization?::1
id_54	How many years have you been doing data visualization?::1
id_55	How many years have you been doing data visualization?::1
id_56	How many years have you been doing data visualization?::1
id_57	How many years have you been doing data visualization?::1
id_58	How many years have you been doing data visualization?::1
id_59	How many years have you been doing data visualization?::1
id_60	How many years have you been doing data visualization?::1
id_61	How many years have you been doing data visualization?::1
id_62	How many years have you been doing data visualization?::1
id_63	How many years have you been doing data visualization?::1
id_64	How many years have you been doing data visualization?::1
id_65	How many years have you been doing data visualization?::1
id_66	How many years have you been doing data visualization?::2
id_67	How many years have you been doing data visualization?::2
id_68	How many years have you been doing data visualization?::2
id_69	How many years have you been doing data visualization?::2
id_70	How many years have you been doing data visualization?::2
id_71	How many years have you been doing data visualization?::2
id_72	How many years have you been doing data visualization?::2
id_73	How many years have you been doing data visualization?::2
id_74	How many years have you been doing data visualization?::2
id_75	How many years have you been doing data visualization?::2
id_76	How many years have you been doing data visualization?::2
id_77	How many years have you been doing data visualization?::2
id_78	How many years have you been doing data visualization?::2
id_79	How many years have you been doing data visualization?::2
id_80	How many years have you been doing data visualization?::2
id_81	How many years have you been doing data visualization?::2
id_82	How many years have you been doing data visualization?::2
id_83	How many years have you been doing data visualization?::2
id_84	How many years have you been doing data visualization?::2
id_85	How many years have you been doing data visualization?::2
id_86	How many years have you been doing data visualization?::2
id_87	How many years have you been doing data visualization?::2
id_88	How many years have you been doing data visualization?::2
id_89	How many years have you been doing data visualization?::2
id_90	How many years have you been doing data visualization?::2
id_91	How many years have you been doing data visualization?::2
id_92	How many years have you been doing data visualization?::2
id_93	How many years have you been doing data visualization?::2
id_94	How many years have you been doing data visualization?::2
id_95	How many years have you been doing data visualization?::2
id_96	How many years have you been doing data visualization?::2
id_97	How many years have you been doing data visualization?::2
id_98	How many years have you been doing data visualization?::2
id_99	How many years have you been doing data visualization?::2
id_100	How many years have you been doing data visualization?::2
id_101	How many years have you been doing data visualization?::2
id_102	How many years have you been doing data visualization?::2
id_103	How many years have you been doing data visualization?::2
id_104	How many years have you been doing data visualization?::2
id_105	How many years have you been doing data visualization?::2
id_106	How many years have you been doing data visualization?::2
id_107	How many years have you been doing data visualization?::2
id_108	How many years have you been doing data visualization?::2
id_109	How many years have you been doing data visualization?::2
id_110	How many years have you been doing data visualization?::2
id_111	How many years have you been doing data visualization?::2
id_112	How many years have you been doing data visualization?::2
id_113	How many years have you been doing data visualization?::2
id_114	How many years have you been doing data visualization?::2
id_115	How many years have you been doing data visualization?::2
id_116	How many years have you been doing data visualization?::2
id_117	How many years have you been doing data visualization?::2
id_118	How many years have you been doing data visualization?::2
id_119	How many years have you been doing data visualization?::2
id_120	How many years have you been doing data visualization?::2
id_121	How many years have you been doing data visualization?::2
id_122	How many years have you been doing data visualization?::2
id_123	How many years have you been doing data visualization?::2
id_124	How many years have you been doing data visualization?::2
id_125	How many years have you been doing data visualization?::2
id_126	How many years have you been doing data visualization?::2
id_127	How many years have you been doing data visualization?::2
id_128	How many years have you been doing data visualization?::2
id_129	How many years have you been doing data visualization?::2
id_130	How many years have you been doing data visualization?::2
id_131	How many years have you been doing data visualization?::2
id_132	How many years have you been doing data visualization?::2
id_133	How many years have you been doing data visualization?::2
id_134	How many years have you been doing data visualization?::2
id_135	How many years have you been doing data visualization?::2
id_136	How many years have you been doing data visualization?::2
id_137	How many years have you been doing data visualization?::2
id_138	How many years have you been doing data visualization?::2
id_139	How many years have you been doing data visualization?::2
id_140	How many years have you been doing data visualization?::2
id_141	How many years have you been doing data visualization?::2
