Timestamp,How many years have you been doing data visualization?,What is your educational background?,How did you learn to create data visualization?,Did you set out to work in data visualization or did you fall into it?,Is this your first job doing data visualization?,What is your official job title?,Is your total compensation in-line with Software Engineers and UX/UI/Designer roles at your level?,What focus is data visualization in your work?,For your current role or the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?,What's your employment status,How is your organization using data visualization?,Is there a separate group that does data visualizations or are you embedded in another group? (data science UX UI web data engineering IT etc),What level of data visualizations are used at your organization?,Are data visualization specialists represented in the leadership of your organization?,Data visualization roles at your organization are found in what part of the organization?,Percent of your day focused on creating/implementing/productizing data visualizations?,Percent of your day focused on data engineering?,Percent of your day focused on data science?,Percent of your day focused on design?,Percent of your day focused on data prep work?,What technologies do you use to visualize data?,Are you able to choose your own tools or are the choices made for you?,How do you present your data visualizations?,Which of these charts have you used in production in the last 6 months:,Who do you make data visualizations for?,What knowledge level do they have of the data you are visualizing for them?,How often do they consume your data visualizations?,What do they use your data visualizations for?,How would you describe the relationship?,What is your biggest frustration with your job?,What is your biggest frustration with doing data visualization in your job?,If you could change one thing about your job what would it be?,If you could change one thing about your data visualization work what would it be?,What do you think other people in your organization just don’t get about the data visualization work that you do?,What one change would make your job better?,What community support / discussions / advice would you want to see from data visualization thought leaders?,Who do you look to as a thought leader in data visualization?,Do you want to spend more time or less time visualizing data in the future?,Gender,Age,Where do you live?,What’s your ethnicity?,The organization you work for is in which of the following?
2/28/2017 2:38:52,1,Masters,Mostly Self-Taught,Intended to work in data visualization,Yes,Freelancer,Don't Know/Prefer Not to Say,Data visualization is the focus of my job,Hired to do data visualization,Consultant,,,,,,50,5,5,10,5,D3;ggplot,I'm able to choose my own tools.,Embedded in a tool;Scrollytelling;Static Web Page;Documents;Presentations,Line Chart;Bar Chart;Infographics;Network Diagram;Choropleth Map,General Public;Scientists,Expert,Monthly,Summarization;Learning,Consultative,Not enough visibility for the moment.,Not knowing enough about basic graphic design.,I'd work in a team.,,,Work in a team.,How to work together on projects.,Alberto Cairo,Same,male,,Europe,,Mixed
3/1/2017 10:54:05,4,Bachelors,Equal Parts School and Self-Taught,Ended up doing data visualization as a requirement of the job,No,News App Developer,Data Visualization Role has Lower compensation,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Communication;News,Both,General charting libraries;Completely custom,No,Design;News,50,10,10,25,5,Illustrator;D3;Other Javascript;ggplot;React,I'm able to choose my own tools.,Scrollytelling;Static Web Page,Line Chart;Bar Chart;Choropleth Map,General Public,Intro,Daily,Analysis;Summarization;Learning,Collaborative,Clarity on expectations,Editing from non data-viz experts on the data-viz end,Harder deadlines for projects- more medium-length stories,Less editing on the visuals/design side,How to tell a story with visuals ,Planning ahead ,Better resources to for sharing and tracking our work,Alberto Cairo,Same,female,25 or younger,USA or Canada,white,Private sector
3/1/2017 14:35:52,4,Masters,Mostly Self-Taught,Intended to work in data visualization,Yes,Data Journalist,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication;Exploration,Embedded in another team,ggplot2/Pandas Charts;General charting libraries;Completely custom,No,Data journalism team,20,5,10,5,20,Illustrator;Excel;D3;Leaflet;Mapbox;Highcharts;ggplot;QGIS,I'm able to choose my own tools.,Scrollytelling;Static Web Page;Interactive web page,Line Chart;Bar Chart;Pie Chart;Network Diagram;Choropleth Map,General Public,Moderate,Hourly,Entertainment;Summarization;Learning,Collaborative,Not enough coding capacity in the team,Working on the deadline. Designing mobile first.,More resources- more specific roles in the team,A company wide style guide,How time consuming it is to get and process the data beforehand,More resource,Share as many learnings as possible,Alberto Cairo,More,male,26 - 35,Europe,white,Private sector
3/5/2017 6:49:32,10,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Founder,Don't Know/Prefer Not to Say,Data visualization is the focus of my job,Hired to do data visualization,Other,Analysis;Summary/Overview;Communication;Marketing;Exploration,Separate data visualization team,Completely custom,Yes,1-man shop,90,0,0,20,10,Illustrator;Excel;D3;Leaflet;Mapbox;Other Javascript,I'm able to choose my own tools.,Dashboard;Scrollytelling;Static Web Page;Documents;Presentations;print,Line Chart;Bar Chart;Infographics;Choropleth Map;dot plot;astor plot;custom viz,General Public;Analysts;Engineers;Product Managers;Project Managers;Executives,Intro;Moderate;Expert,Monthly,Analysis;Summarization;Learning,Collaborative,,,I wouldn't have to chase money and could just find- analyze and visualize interesting data to make the world a better place.,,,A community of people to turn to for help- support- etc.,,Alberto Cairo,Same,male,46 - 55,USA or Canada,white,Private sector
3/6/2017 8:20:40,5,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Consulting,Data Visualization Role has same compensation,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Analysis;Summary/Overview;Communication;Exploration,Embedded in another team,Business Intelligence Tools,No,Design;IT,80,15,0,30,10,Tableau;D3,I'm able to choose my own tools.,Embedded in a tool;Dashboard,Line Chart;Bar Chart;Pie Chart;Treemap;Network Diagram,Analysts;Project Managers;Executives,Moderate;Expert,Daily,Analysis;Summarization;Learning,Consultative,Not enough other data visualization professionals to work with,Few people understand the problems I face- therefore it's a challenge for them to help me out.,More time to study and experiment with new learnings.,I would like to improve my understanding and application of color.,How much thought goes into the unseen.,More viz professionals to work with.,Confident come backs from intense meetings where leadership tried to overturn a wise visualization decision in favor of something worse (ex. a palette that isn't color blind friendly),Alberto Cairo,Much more,male,26 - 35,USA or Canada,white,Private sector
3/6/2017 8:39:17,7,Masters,Equal Parts School and Self-Taught,Intended to work in data visualization,No,VP Digital Strategy and Analytics,Don't Know/Prefer Not to Say,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Other,Analysis;Summary/Overview;Communication;Marketing;Exploration,Both,Business Intelligence Tools,No,IT,35,5,5,15,40,Excel;Tableau;Other R,I'm able to choose my own tools.,Static Web Page;Documents;Presentations;Email,Line Chart;Bar Chart,Product Managers;Project Managers;Executives,Moderate;Expert,Daily,Summarization;Learning;Research;sales,Subordinate,lack of understanding and lack of interest in gaining it.  ,new tools- slow database- lack of data on competitive product.  ,add manpower.  ,use r and its packages more often. ,how hard it is to do.  ,add tableau licenses,more on how to create specific data visualizations in various tools/apps/languages.   etl is also a blind area there should be a set group of learnings/skills for etl cwork. ,Alberto Cairo,Much more,male,46 - 55,USA or Canada,white,Private sector
3/6/2017 16:10:35,3,Masters,Equal Parts School and Self-Taught,Intended to work in data visualization,Yes,data artist & designer,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Communication;Marketing,Separate data visualization team,Completely custom,No,Design;Marketing,40,0,0,100,10,Illustrator;Excel;D3;Leaflet;Mapbox;Other Javascript;QGIS,I'm able to choose my own tools.,Embedded in a tool;Static Web Page;Reports pdf,Line Chart;Bar Chart;Infographics;Choropleth Map;Raster Map,General Public,Intro,Yearly,Analysis,Consultative,have to do others things such as emailing or editorial design,Not knowing enough javascript ,doing more data viz,its ui design,it importance to reach the public in order to make desicions,have more time for doing the visualizations,data viz for mobile devices,Alberto Cairo,Much more,female,26 - 35,Latin America,hispanic,Private sector
3/7/2017 7:16:17,2,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Data Visualization Consultant,Data Visualization Role has Lower compensation,Data visualization is the focus of my job,Hired to do data visualization,Consultant,,,,,,20,10,15,10,45,D3;Processing;Leaflet;Mapbox;Other R;ArcGIS,I'm able to choose my own tools.,Dashboard,Line Chart;Bar Chart;Dendrogram;Choropleth Map;Slopegraph,General Public;Analysts,Intro,Weekly,Analysis;Learning;Research,Consultative,The lack- or frequency of- user feedback,The constant feeling that I could have done better,Have more open data projects,Lower the level of effort to reach our visualization goals.,Value,User feedback,Science based statements,Alberto Cairo,Much more,male,46 - 55,Latin America,,Public sector
2/27/2017 12:46:29,9,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Flight Data Analyst,Data Visualization Role has higher compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Communication;Exploration,Embedded in another team,Business Intelligence Tools,No,IT,10,40,5,15,30,Tableau;Power BI;Mapbox;Other R;Other Python,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Scrollytelling;Documents;Presentations;Email,Line Chart;Bar Chart;Infographics,Analysts;Engineers;Executives,Moderate;Expert,Weekly,Analysis;Summarization;Research,Consultative,slow computer- not enough knowledge on my side,time not enough to explore other viz formats- quite often i have to stick to the same set.,I would use more machine learning- use dashboards to better explore the findings ,learn more- try harder,most users are only concerned about what they can read and understand in less than 5min. while there's so much more on display.,Increase data literacy in the company,have them call the stakeholders to commit to use the data as presented and learn more about what it contains,Alberto Cairo;Andy Kirk,More,male,46 - 55,Latin America,white,Private sector
3/7/2017 8:16:43,5,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Web Developer,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Communication;Exploration,Embedded in another team,Business Intelligence Tools;Completely custom,Yes,Design;Research;IT,25,5,5,5,10,Excel;Tableau;D3;Mapbox;Other Javascript,I'm able to choose my own tools.,Embedded in a tool;Static Web Page;Documents;Presentations,Line Chart;Bar Chart;Pie Chart;Choropleth Map,General Public;Analysts;Non-Profit Advocacy Groups,Intro;Moderate,Weekly,Analysis;Learning;Research,Collaborative,not enough time,too many browsers/devices to test adequately,expectations of time required to create an effective visualization,more time to interact with the DV community,visualizing complex subjects takes time & experimentation,more time,"how to counteract the old wives tale that ""figures lie and liars figure""",Alberto Cairo;Andy Kirk,More,female,46 - 55,USA or Canada,white,Not-for-profit
2/27/2017 15:30:17,10,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Editor Interactive Digital Storytelling,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication,Both,Business Intelligence Tools;ggplot2/Pandas Charts;General charting libraries;Completely custom,No,Design;Engineering;News / Editorial,15,1,1,1,1,Excel;Tableau;Plotly;D3;Mapbox;Datawrapper;Internal Charting Tool,I'm able to choose my own tools.,Scrollytelling;Static Web Page;Documents;Presentations;Email,Line Chart;Bar Chart;Infographics;Choropleth Map,General Public,Intro,Monthly,Entertainment;Analysis;Summarization;Learning;Research,Consultative,Too many demands- difficult to prioritise and focus on key tasks,Need better tools,Clearer vision for our work,Able to spend more time on bespoke visuals,How complex the process is- especially around data preparation,Clearer strategy from my organisation,,Alberto Cairo;Brian Boyer,More,male,36 - 45,Oceania,white,Public sector
3/1/2017 12:19:02,8,Masters,Equal Parts School and Self-Taught,Intended to work in data visualization,No,Senior Programmer/Analyst,Data Visualization Role has higher compensation,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Analysis;Summary/Overview;Communication;Marketing,Embedded in another team,ggplot2/Pandas Charts;Completely custom,No,Design;Marketing;Research,40,,10,40,10,Illustrator;Excel;D3;Pandas;Other Python;QGIS,I'm able to choose my own tools.,Static Web Page,Line Chart;Bar Chart;Choropleth Map;Raster Map,General Public;Analysts;Scientists,Moderate,Daily,Summarization;Learning;Research,Collaborative,Emphasis on tools and technology over methods- design- and effectiveness,Constantly defending sound and settled perceptual science against opinion and personal preference,Work remotely 100 of the time,The ability to dive deeper into long-term projects (I produce work for daily deadlines),"My decisions are based on science and proven best practices- not whim or an ""eye for design.""  Good visualization works well because it is based on known principles and is not the result of happenstance or good luck.",,More advocacy for data visualization specialists to be taken seriously among other scientists. Climate scientists- biologists- and engineers are unlikely to listen to data visualizers on design- color- etc. We can bridge that gap to help convey data visualization as an evidence-based discipline.,Alberto Cairo;David McCandless,Same,male,26 - 35,USA or Canada,white,Public sector
3/8/2017 9:33:43,4,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Database Editor,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Communication;Exploration,Embedded in another team,Business Intelligence Tools;General charting libraries;Completely custom,No,Design;Editorial,20,35,7,3,35,Excel;Tableau;D3;Other Javascript;ArcGIS;QGIS;Other GIS,I'm able to choose my own tools.,Embedded in a tool,Line Chart;Bar Chart;Pie Chart;Choropleth Map;Raster Map,General Public,Intro,Daily,Entertainment;Learning,Consultative,Need more coding assistance,Limits of the tools we know and use,More coding resources,More choices,Complexity- especially given the need for responsive visualizations,,How to accomplish specific tasks,Alberto Cairo;Tufte,Same,male,56+,USA or Canada,white,Media
2/27/2017 12:40:00,6,Masters,Mostly Self-Taught,Intended to work in data visualization,No,Information Designer,Don't Know/Prefer Not to Say,Data visualization is the focus of my job,Hired to do data visualization,Consultant,,,,,,60,0,5,30,5,Illustrator;Excel;Tableau;InDesign,I'm able to choose my own tools.,Dashboard;Static Web Page;Documents;Presentations,Line Chart;Bar Chart;Pie Chart;Infographics;Network Diagram;Choropleth Map;Flow Diagram;Slopegraph;Marimekko;parallel coordinates ,General Public;Analysts;Project Managers,Expert,Weekly,Analysis;Summarization;Advocacy ,Collaborative,Clients who design the visualization then ask me to execute it. ,Clients who design the visualization then ask me to execute it. ,Delegate more. ,delegate more. ,I'm self employed but I wish clients understood that it's my job to come up with the visual.,More collaborators. ,,Alberto Cairo;Tufte;Stephen Few;Robert Kosara,Same,male,36 - 45,USA or Canada,white,Private sector
3/5/2017 9:12:14,10,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,,Don't Know/Prefer Not to Say,Data visualization is the focus of my job,Data visualization is only part of my job,Full-time,Communication;Journalism,Embedded in another team,Business Intelligence Tools;General charting libraries,No,Editorial/newsroom,80,0,10,40,30,Illustrator;Excel;Tableau;Mapbox;QGIS;Datawrapper,I'm able to choose my own tools.,Dashboard;Static Web Page,Line Chart;Bar Chart;Pie Chart;Infographics;Raster Map,General Public,Intro,Weekly,Learning,Subordinate,Not having a data team to work with -- having to figure everything out on my own. ,There's so much to learn I feel like I'll never know enough to be effective. ,Add more data-focused employees,,They don't understand the crazy skill set that's involved. They think I just push a few buttons and the software magically creates something for me. ,,More detailed guides about where to start with data science and visualization -- classes- books- software advice,Alberto Cairo;Enrico Bertini;Moritz Stefaner,Much more,female,46 - 55,USA or Canada,white,Private sector
3/3/2017 16:17:44,7,Masters,Equal Parts School and Self-Taught,Ended up doing data visualization as a requirement of the job,No,Senior Operations Analyst,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Marketing;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts,Yes,Design;Engineering;Marketing;Research;IT;Operations,15,10,5,5,25,Excel;Power BI;ggplot,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Presentations;Email,Line Chart;Bar Chart;Treemap;Choropleth Map,Analysts;Engineers;Product Managers;Project Managers;Executives,Intro;Moderate,Weekly,Analysis;Summarization,Subordinate,Not having a mentor to learn data science from.,Not having a uniformed BI strategy across the organization,Have a centralized analytics team,Settle on a single- comprehensive BI solution to work with,How much time is spent cleansing data to make it usable,Having a team of analysts to learn from,Continue embracing R visualizations and data manipulation,Alberto Cairo;Hadley Wickham,Same,male,36 - 45,USA or Canada,white,Not-for-profit
2/27/2017 12:56:04,4,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Yes,Research Associate for Information Synthesis and Dissemination,Data Visualization Role has Lower compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication;Marketing,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts;General charting libraries,No,Design;Research,50,0,5,30,15,Illustrator;Excel;Tableau;Highcharts;Other Javascript;ggplot;Other R;After Effects,I'm able to choose my own tools.,Embedded in a tool;Scrollytelling;Static Web Page;Documents;Presentations;Email,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Flow Diagram;venn diagram,General Public;Analysts;Executives,Moderate;Expert,Weekly,Analysis;Summarization;Learning;Research,Collaborative,Keeping up with new tools and learning how to use them (steep learning curves- lack of on-the-job training).,,More on-the-job- hands on trainings on new tools- so I can learn by doing.,,Two things: 1) the amount of time it takes to produce data viz. 2) the breadth of data-viz options available to them. ,More trainings on new tools- especially R/ggplot- D3- Ruby on Rails- and front end web development--javascript in particular.,More in-person workshops/training/meetups for beginners where people of all skill levels could  come to talk through ideas and work on projects with help from peers or mentors.,Alberto Cairo;Hans Rosling,More,male,26 - 35,USA or Canada,white,Not-for-profit
