Experience (Buckets)	How many years have you been doing data visualization?	What is your educational background?	What was your major?	Did you learn how to do data visualization in school or did you learn how to do it on your own?	What method do you think best teaches data visualization?	Did you set out to work in data visualization?	Is this your first job where data visualization is a part of your responsibilities?	What is your official job title?	Is your total compensation in-line with Software Engineers and UX/UI/Designer roles at your level?	What focus is data visualization in your work?	For your current role or the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?	Do you do more or less data visualization than you expected for this role?	What's your employment status	How is your organization using data visualization?	Is there a separate group that does data visualizations or are you embedded in another group? (data science, UX, UI, web, data engineering, IT, etc)	What modes of data visualization are in use at your organization?	Do you feel the leadership in your organization has a strong understanding of the value of data visualization?	Data visualization roles at your organization are found in what part of the organization?	How many hours a day are focused on creating/implementing/productizing data visualizations?	How many hours a day are focused on data engineering?	How many hours a day are focused on data science?	How many hours a day are focused on design?	How many hours a day are focused on data prep work?	How many hours a day are focused on building your portfolio?	What technologies do you use to visualize data?	Are you able to choose your own tools or are the choices made for you?	How do you present your data visualizations?	Which of these charts have you used in production in the last 6 months:	Who do you make data visualizations for?	What knowledge level do they have of the data you are visualizing for them?	How often do they consume your data visualizations?	What do they use your data visualizations for?	How would you describe your relationship with stakeholders?	I have adequate resources to explore the data visualization options I want to use. 	I aspire to be better at: 	What is your biggest frustration with doing data visualization in your job?	If you could change one thing about your data visualization work what would it be?	What do you think other people in your organization just don’t get about the data visualization work that you do?	I want to make better visualizations but don’t have the time/energy/resources.	I’m always on the lookout for new data visualization tools and techniques that will make my workflows faster and more efficient.	What one change would make the data visualization aspect of your job better?	What community support / discussions / advice would you want to see from data visualization thought leaders?	Who do you look to as a thought leader in data visualization?	Do you want to spend more time or less time visualizing data in the future?	Gender	Age	Where do you live?	The organization you work for is in which of the following?
0-1	0	Bachelors	Comparative literature	Equal Parts School and Self-Taught	Workshops	Intended to work in data visualization	Yes	Senior Officer	Don't Know/Prefer Not to Say	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Summary/Overview, Communication	Embedded in another group	Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	No	Leadership	2	0	0	1	1	0	Excel, Illustrator, Qlik	I'm able to choose my own tools.	Static Web Page, Documents, Presentations, Email	Infographics	Analysts, Executives	Intro	Yearly	Analysis, Summarization	Consultative	3	The data side of data visualization	The lack of time.	More practice.		5	5	More time and better tools & techniques.	Concrete advice/tips how to do better data visualizations	Koponen, Hildén	Much more	Female	46-55	Finland	Public sector
0-1	0	Bachelors	Biological Sciences	Mostly Self-Taught	I used examples and video tutorials	Intended to work in data visualization	Yes	Student	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Student						1	1	1	2	1	2	D3	I'm able to choose my own tools.	Static Web Page	Bar Chart	General Public, Scientists	Intro	Weekly	Entertainment, Summarization, Education, Research	Collaborative	3	Both	Learning	Learn more efficiently, faster	Some people don't care about data	3	5	More training, or resources?			More	Male	36-45	California	Public sector
0-1	1	Bachelors	Political science, statistics and data science	Equal Parts School and Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	Yes	Data Visualization Analyst, Research Assistant	Data Visualization Role has same compensation	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Employee at a Company	Analysis, Machine Learning, Communication, Marketing, Policy reports	Embedded in another group	Completely custom (Processing, D3, custom code), R - ggplot2	Yes	Research	3	1	0.5	1	2	0.5	D3, ggplot, Leaflet, Mapbox, Plotly, Python, R	I'm able to choose my own tools.	Scrollytelling, Static Web Page, Documents, Presentations, Email	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Infographics, Network Diagram, Choropleth Map, Flow Diagram, 3D Charts	General Public, Analysts, Scientists, Designers	Intro, Moderate, Expert	Weekly	Analysis, Research, PR/Branding	Collaborative	4	The design side of data visualization	I'm the only data visualizer on my team. 	I would love to have a web developer working with me. 	The amount of data cleaning... I often get messy Excel sheets that need to be cleaned before analysis.	1	5	More people working on data visualization.		Susie Lu, Nadieh Bremer, Mike Bostock, Hadley Wickham	Same	Female	25 and lower	Australia	Academic
0-1	1	Masters	Bioinformatics	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	Yes	Programmer Analyst	Data Visualization Role has Lower compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	More	Employee at a Company	Analysis	Embedded in another group	General charting libraries (highcharts, recharts)	Yes	Data Science/Analytics	2	3	1	1	0.3	1	D3, R	I'm able to choose my own tools.	Static Web Page	Line Chart, Bar Chart, Scatterplot, Chord Diagram	Scientists	Expert	Weekly	Analysis, Summarization	Consultative	3	The design side of data visualization	Lack of peers excited about it and unwillingness to learn adequate skills	Make more reusable charts	The amount of customization possible with libraries like d3 that charting libraries cannot provide	3	4				Much more	Male	26-35	Wisconsin	Academic
0-1	1	Bachelors	Communications, minor in Web Technology	Mostly Self-Taught	Workshops	Ended up doing data visualization as a requirement of the job	Yes	Analytics Consultant	Data Visualization Role has Lower compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	Less	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Notebooks, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint, Google Data Studio, Google Sheets	No	Design, Engineering, Marketing, Data Science/Analytics	2	4	1	1	2	0	D3, Angular, Excel, ggplot, Illustrator, Leaflet, Plotly, Python, R, React, Tableau, Google Data Studio, Google Sheets	I'm able to choose my own tools.	Embedded in a tool, Dashboard, Static Web Page, Documents, Presentations	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Network Diagram, Choropleth Map, Flow Diagram	Analysts, Engineers, Scientists, Product Managers, Project Managers, Executives	Moderate	Monthly	Analysis, Summarization, Education, Research	Consultative	3	Both	Showing the possibilities with folks who are stuck in the world of Excel or Data Studio	Do more of it!	The flexibility of programmatic visualization. How much prep work goes into the data. That there are more important metrics and data out there they should be focusing on and analysing than basic metrics in a simple chart.	5	5		Workshops on more advanced topics. There are some for 'intro to D3' and similar basic ones, but you can learn the most basic stuff online. I am looking for more detailed trainings on complex topics, with advice on best practices and things to watch out for that only experienced individuals could provide.	Elijah Meeks, Nadieh Bremer, Edward Tufte	Much more	Female	26-35	Pennsylvania	Consulting
0-1	1	Bachelors	Geography	Mostly Self-Taught	Collaboration with more skilled practitioners	Ended up doing data visualization as a requirement of the job	Yes	Reporter	Data Visualization Role has Lower compensation	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Communication	Separate data visualization group	Completely custom (Processing, D3, custom code), Excel/PowerPoint	Yes	journalism	0.5	0	0	0	1	0	ArcGIS, D3	I'm able to choose my own tools.	Static Web Page	Line Chart, Bar Chart, Scatterplot	General Public	Intro	Monthly	Journalism, Analysis, Summarization, Education	Collaborative	4	The data side of data visualization										Female 	25 and lower	California	Journalism
0-1	1	Masters	Journalism	Mostly from School	Collaboration with more skilled practitioners	Intended to work in data visualization	Yes	Journalist	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Marketing	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)	Yes	Design, Marketing, IT, Data Science/Analytics	2	0	1	1	1	0	D3, Excel, Illustrator, Python	We have a set list of tools we're expected to use for data visualization.	Embedded in a tool, Static Web Page	Bar Chart, Infographics, Network Diagram	General Public	Intro	Daily	Entertainment, Journalism, Analysis	Consultative	3	The data side of data visualization				5	4				Much more	Female	25 and lower	Portugal	Journalism
0-1	1	Bachelors	Media Studies	Mostly Self-Taught	Collaboration with more skilled practitioners	Intended to work in data visualization	No	Data Visualization Analyst	Data Visualization Role has Lower compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	Less	Employee at a Company	Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration	Both	Business Intelligence Tools (like Tableau) Charts, Notebooks, General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Yes	Design, Data Science/Analytics	8	0	0	2	4	all of them in some way	Highcharts, React, Web Components, Chart.js	I'm able to choose my own tools.	Embedded in a tool	Line Chart, Bar Chart	Analysts, Product Managers, Project Managers, Marketing, Business Execs/Strategy	Intro, Moderate, Expert	Daily	Analysis, Summarization, A/B Testing results decision-making	Consultative	3	Other	Not enough of visualizations that are creative vs. too many tables TABLES TABLES (a table is also a data visualization)	More time/imperative to explore new ways of visualizing	They don't get how time consuming and finicky of a discipline that is	4	5	Fewer tables, more charts	I like what Elijah is doing - describing the process instead of just showing "here's what i did woweeee"		More	Female	25 and lower	New York	Journalism
0-1	1	Bachelors	Economics	Mostly Self-Taught	Video Tutorials	Intended to work in data visualization	Yes	Research Associate	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	Less	Employee at a Company	Analysis, Summary/Overview	Embedded in another group	General charting libraries (highcharts, recharts), Hand-crafted in a graphics editor (Illustrator), Excel/PowerPoint	Yes	Design	2	4	2	2	6	1	Plotly, Python	I'm able to choose my own tools.	Embedded in a tool, Documents, Presentations	Line Chart, Bar Chart, Scatterplot	General Public, Analysts	Moderate	Weekly	Analysis, Summarization, Research	Consultative	4	The design side of data visualization	The limits put by the communications team. 	Increase creative freedom 		2	5	creative freedom. 	bridging the Gap between researchers and designers. 	Scott Murray, Nadieh Bremer, Andy Kirk, Shirley Wu, Alberto Cairo	Much more	Male	25 and lower	California	Not-for-profit
0-1	1	Other		Mostly Self-Taught	Video Tutorials	Ended up doing data visualization as a requirement of the job	Yes	Front End Engineer	Data Visualization Role has same compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	About as much as I expected for this role	Student						3	2	0	4	2	4	D3, Vue, Web Components	I'm able to choose my own tools.	Embedded in a tool, Static Web Page	Line Chart, Pie Chart, Infographics, 3D Charts	General Public	Moderate, Expert	Weekly	Education	Collaborative	4	The data side of data visualization	I find it difficult to gather data. The tools are great at structuring and designing it. But the data part is difficult	The way I gather data	What other people probably don't get is that it's awesome!	3	4		Tips to be more efficient	Shirley Wu	More	Male	25 and lower	India	Not-for-profit
0-1	1	Masters	Public Policy & Data Analytics	Mostly from School	Collaboration with more skilled practitioners	Intended to work in data visualization	Yes	Policy & Data Analyst	Data Visualization Role has Lower compensation	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Analysis, Summary/Overview, Communication, Marketing, Exploration	Embedded in another group	Completely custom (Processing, D3, custom code), Primarily R markdown reports / memos	Don't Know	Data Science/Analytics	3	0	1	1	3	0	ggplot, Leaflet, R	I'm able to choose my own tools.	Dashboard, Static Web Page, Documents, Presentations	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Network Diagram, Flow Diagram, Violin charts, histogram, waffle chart, Sankey diagram	General Public, Analysts, Engineers, Funders / Fundraising / Marketing	Intro, Moderate, Expert	Weekly	Analysis, Summarization, Education, PR/Branding	Consultative	4	Other	When the data doesn't end up looking how we'd like it to, or finding the right balance of simplification and detail	More time, both for learning and exploration. Maybe a better framework for myself to not get into black holes of possibilities that suck my time.	The role of data cleaning / manipulation -- how we get from the data we have to the output	4	2	Higher data literacy of my audience			More	Female	26-35	California	Not-for-profit
0-1	1	Bachelors	enterprise systems development	Mostly Self-Taught	Examples	Ended up doing data visualization as a requirement of the job	No	Systems Developer	Don't Know/Prefer Not to Say	Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Summary/Overview	Both	General charting libraries (highcharts, recharts), Excel/PowerPoint	Yes	IT	0.5	1	0	1	1	0		I'm able to choose my own tools.	Embedded in a tool	Line Chart, Treemap	Analysts	Moderate	Weekly	Summarization	Consultative	4	The design side of data visualization	Not enough time	To use a wider framework like d3	Without The right data it looks like a generic excel graph	5	2	More time			More	Male	25 and lower	Australia	Private sector
0-1	1	Bachelors	Computer Science	Mostly Self-Taught	Examples	Intended to work in data visualization	Yes	Data Journalist	Data Visualization Role has Lower compensation	Data visualization is the focus of my job	Data visualization is only part of my job	About as much as I expected for this role	Employee at a Company	Marketing	Embedded in another group	Completely custom (Processing, D3, custom code)	Don't Know	Marketing	4	0	2	1	2	1	D3, Mapbox, React	I'm able to choose my own tools.	Scrollytelling, Static Web Page	Line Chart, Bar Chart, Pie Chart, Scatterplot, Choropleth Map	General Public	Moderate	Monthly	Entertainment, Journalism, Analysis, PR/Branding	Subordinate	3	The design side of data visualization	I want to collaborate with others.	I wish I had a good tool to create wireframes and mockups.	They don't see the value in it.	4	4		I want to see people create how-tos for complex projects so we can learn from them.	Adam Pearce, Denise Lu, Pudding	More	Male	25 and lower	California	Private sector
0-1	1	Masters	Finance	Mostly Self-Taught	Depends really on where you are on your journey	Intended to work in data visualization	Yes	BI Developer	Data Visualization Role has same compensation	Data visualization is the focus of my job	Data visualization is only part of my job	More	Employee at a Company	Analysis, Summary/Overview, Communication, Marketing	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, Excel/PowerPoint, R and Python	Yes	Marketing, Data Science/Analytics	2	2	2	1	3	0	ggplot, Power BI, R, Tableau	We have a set list of tools we're expected to use for data visualization.	Dashboard, Static Web Page, Presentations	Line Chart, Bar Chart, Pie Chart, Scatterplot, Flow Diagram	Executives	Moderate	Daily	Summarization	Collaborative	5	The design side of data visualization	Regret not having started this sooner	I wish I could learn design and the tech to use it fast(Like d3)	I am blessed that way. We all get it	3	5	Usage of tools and freedom to use them	A very collaborative and rich community like R and Python	Alberto Cairo, Elijah Meeks, Andy Kirk, Edward Tufte	Much more	Male	26-35	Australia	Private sector
0-1	1	Masters	Economic Policy	Equal Parts School and Self-Taught	Collaboration with more skilled practitioners	Ended up doing data visualization as a requirement of the job	Yes	Business Analyst	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Data visualization is only part of my job	Less	Employee at a Company	Analysis, Exploration	Embedded in another group	Business Intelligence Tools (like Tableau) Charts	Yes	Data Science/Analytics	1	7	0	0	7	0	Tibco Spotfire	We have a set list of tools we're expected to use for data visualization.	Embedded in a tool, Dashboard, Static Web Page	Line Chart, Bar Chart, Scatterplot, Treemap	Medical Professionals, Project Managers	Intro	Daily	Analysis, Summarization	Collaborative	2	The data side of data visualization	Limitations of visualization softwares	I would make it more customized	That data visualization comes after understanding and exploring data structure 	5	3	Understanding information design 	Tutorials on design, d3	Alberto Cairo, Mike Bostock, Giorgia Lupi	Much more	Female	26-35	Hungary	Private sector
0-1	1	Masters	Software Engineering	Mostly Self-Taught	Examples	Intended to work in data visualization	Yes	Software Engineer	Data Visualization Role has same compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	More	Employee at a Company	Analysis, Summary/Overview, Communication, Marketing, Exploration	Embedded in another group	General charting libraries (highcharts, recharts), Completely custom (Processing, D3, custom code)	Yes	Engineering	5	0.5	0.5	0.5	0.5	0	ArcGIS, D3, Java, Mapbox, React, WebGL	I'm able to choose my own tools.	Embedded in a tool	Scatterplot, Network Diagram, Choropleth Map, Raster Map, Flow Diagram, Radial Tree, Chord Diagram	Analysts, Engineers, Scientists, Medical Professionals, Product Managers, Project Managers, Executives	Expert		Journalism, Analysis, Summarization, Education, Research, PR/Branding	Collaborative	5	The design side of data visualization	Not enough time	To experiment more	Potential of new Visualizations	5	5	More time to learn		Edward Tufte, Mike Bostock, Maarten Lambrechts	Much more	Male	26-35	UK	Private sector
0-1	1	Bachelors	Sociology	Mostly Self-Taught	Collaboration with more skilled practitioners	Intended to work in data visualization	Yes	Data Visualization Engineer	Don't Know/Prefer Not to Say	Data visualization is the focus of my job	Hired to do data visualization	About as much as I expected for this role	Intern	Analysis, Summary/Overview, Communication, Marketing, Exploration	Separate data visualization group	Business Intelligence Tools (like Tableau) Charts, Notebooks, Completely custom (Processing, D3, custom code), Excel/PowerPoint	Yes	there isn't clear vertical separation of functions in the organisation, it's project/customer based	3	1	0	1	2	0	D3, Excel, Gephi, Power BI, Tableau	We have a set list of tools we're expected to use for data visualization.	Dashboard, Presentations	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Network Diagram, Choropleth Map	General Public, Analysts, Project Managers, Executives	Moderate, Expert		Entertainment, Analysis, Summarization, PR/Branding	Consultative	4	The design side of data visualization	personal feeling of inadequacy, imposter syndrome	More collaboration with skilled professionals	that the outcome needs to be aesthetic	5	4	more varied knowledge of tools and Visualization principles in my team	i always wondered how the best of us prototype. we always see the end results but how many twists and turns does it take to get there?	Elijah Meeks	Much more	Male	25 and lower	Hungary	Private sector
0-1	1	Bachelors	Management of information systems	Mostly Self-Taught	Collaboration with more skilled practitioners	Ended up doing data visualization as a requirement of the job	Yes	Security Advocate, Senior Editor	Data Visualization Role has higher compensation	Data visualization is an important secondary part of my job, but not the focus	Data visualization is only part of my job	More	Employee at a Company	Communication, Marketing, Exploration, Akamai State of the Internet report	Embedded in another group	Business Intelligence Tools (like Tableau) Charts, General charting libraries (highcharts, recharts), Excel/PowerPoint	Yes	Design, Engineering, Research, Data Science/Analytics	1	0	2	2	0	0	ggplot, Tableau	I'm able to choose my own tools.	Documents, Presentations	Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Infographics, Treemap, Network Diagram, Choropleth Map	General Public, Product Managers, Executives	Expert	Monthly	Journalism, Summarization, Education, PR/Branding	Collaborative	2	The data side of data visualization	Lack of time to get basic education	Better understanding of the underlying statistical work.		5	2	Creative resources	Slack	Jay Jacobs, Bob Russia	More	Male	46-55	Florida	Private sector
