Have you studied data visualization in school (or other formal environment) or did you learn how to do it on your own?,What methods do you think best teach data visualization?,What area is your next priority for improving your data visualization skills?,Are you a freelancer/consultant?,What focus is data visualization in your work?,For the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?,Do you do more or less data visualization than you expected for this role?,Which one of these is the closest to describing your role?,What is your yearly pay?,What is your hourly rate?,How is your organization using data visualization? Select all that apply.,"Is there a separate group dedicated to creating data visualization or are data visualization specialists embedded in another group? (data science, UX, UI, web, data engineering, IT, etc)",What modes of data visualization are in use at your organization? Select all that apply.,Leadership in your organization has a strong understanding of the value of data visualization.,Data visualization at your organization features prominently in what parts of the organization? Select all that apply.,Hours a week focused on creating/implementing/productizing data visualizations?,Hours a week focused on data engineering?,Hours a week focused on data science?,Hours a week focused on design?,Hours a week focused on data prep work?,Hours a week focused on building your portfolio?,What technologies do you use to visualize data? Select all that apply.,Are you able to choose your own tools or are the choices made for you?,How do you present your data visualizations? Select all that apply.,Which of these charts have you used in production in the last 6 months? Select all that apply.,Who do you make data visualizations for? Select all that apply.,What knowledge level does your audience have of the data you are visualizing for them? Select all that apply.,"Most typically, how often does your audience use your data visualization?",What does your audience use your data visualization for? Select all that apply.,How would you describe your relationship with stakeholders?,I have adequate resources to explore the data visualization options I want to use. ,What is your biggest frustration with doing data visualization in your job?,If you could change one thing about your data visualization work what would it be?,What do you think other people in your organization just don’t get about the data visualization work that you do?,I want to make better visualizations but don’t have the time/energy/resources.,I’m always on the lookout for new data visualization tools and techniques that will make my workflows faster and more efficient.,My skills hold me back much more than my tools do.,What one change would make the data visualization aspect of your job better?,What community support / discussions / advice would you want to see from data visualization thought leaders?,Who do you look to as a thought leader in data visualization?,Do you want to spend more time or less time visualizing data in the future?,How many years of experience do you have doing professional data visualization?,What is your educational background,The organization you work for is in which of the following areas?,"If you went to college, what did you major in during your undergraduate work?",What's your gender identity?,Do you consider yourself a member of the LGBTQ+ community? ,What city do you live in?,What country do you live in?,What non-programming languages do you use regularly?
Mostly Self-Taught,"Examples, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my data skills,Yes,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",,About as much as I expected for this role,None of these describe my role,,$13.00,"Summary/Overview, Marketing",There are no specialists in data visualization in my organization,Business Intelligence Tools (like Tableau),3,I'm a freelancer or otherwise not in a large organization and so this doesn't apply,0,2,0,2,40,0,"Excel, Power BI",We have a set list of tools we're expected to use for data visualization and this causes no issue,Dashboard,"Line Chart, Bar Chart",Myself so far! :),Moderate,Not tracked / Unknown,"Analysis, Education, Research",Subordinate,2,Not knowing how.,"Having a free software which I understood, that could create totally custom data visualizations that could work in Power BI.",The need to be very intentional about the story that you are telling.,5,3,3,A better grasp of visualization programming.,A community like Stack overflow for data viz would be really over the top.,Scott Berinato,More,0,,Public sector,,Man,No,Olalla,USA,English
Mostly Self-Taught,"Books, Workshops, Examples, Video Tutorials, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my skills with an existing technical tool or library,Occasional,Data visualization is the focus of my job,Hired to do data visualization,About as much as I expected for this role,"Leadership (Manager, Director, VP, etc)",$200k+,$200.00,"Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration, Storytelling",Both,"Business Intelligence Tools (like Tableau), Hand-crafted in a graphics editor (Illustrator)",7,"IT, Leadership, Data Science/Analytics",15,5,5,10,5,10,"Illustrator, Mapbox, Tableau",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Documents, Presentations, Email","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Infographics, Treemap, Network Diagram, Choropleth Map, Raster Map, Flow Diagram (Sankey, DAGRE, Flow Chart)","General Public, Analysts, Product Managers, Executives, Operators - people doing the work within companies","Intro, Moderate, Expert",Not tracked / Unknown,"Analysis, Summarization, Monitor a process",Consultative,5,,,,3,3,1,,Organized research with input from thought leaders,"Alberto Cairo, Steve Wexler, Andy Cotgreave, Cole Nussbaumer, ",More,15,Masters,Private Sector and Academic,Music,Man,"No, but I identify as an Ally",Cincinnati,USA,
Equal Parts School and Self-Taught,"Examples, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Improving my design skills,Occasional,Data visualization is the focus of my job,Hired to do data visualization,About as much as I expected for this role,Student,$60k - $80k,$90.00,"Analysis, Machine Learning, Summary/Overview, Communication, Exploration, Storytelling, Education",Both,"Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",6,"Design, Research, Data Science/Analytics",12,1,15,5,4,2,"D3, Excel, Illustrator, Mapbox, kepler.gl, Python, Vega, Pen & Paper",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Scrollytelling, Static Web Page, Interactive Notebook, Documents, Presentations","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Network Diagram, Swarm Chart, Force-Directed Graph","General Public, Analysts, Scientists","Intro, Moderate, Expert",Daily,"Entertainment, Journalism, Analysis, Summarization, Education, Research",Collaborative,4,getting good data,require all work to be open-sourced,visual design is equally important for communicating information ,4,3,3,more time,data visualization evaluation or large-scale studies,,More,3,PhD,Academic,math and physics,Man,No,Atlanta,USA,
Mostly Self-Taught,"Books, Examples, Working through a project",Improving my skills with an existing technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Academic,$140k - $160k,,"Analysis, Summary/Overview, Storytelling, Education",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",2,"Marketing, IT",1,0.5,2,0.5,0.5,0,"Excel, ggplot2, Gephi, R, Tableau, Pen & Paper",I'm able to choose my own tools.,"Dashboard, Scrollytelling, Presentations","Line Chart, Bar Chart, Scatterplot, Treemap, Dendrogram, Network Diagram, Swarm Chart, Force-Directed Graph","General Public, Executives","Intro, Moderate",Monthly,"Summarization, Education, Research",Collaborative,5,Time to learn and improve my skills,Understanding colour,That it doesn't threaten them,4,4,3,PC with more RAM and an SSD,"How-to's, Usage cases, ","Edward Tufte, Stephen Few, Nathan Yau, Alberto Cairo",Much more,5,PhD,Academic,Business,Man,"No, but I identify as an Ally",Sydney,Australia,English
Mostly Self-Taught,"Workshops, Examples, Video Tutorials, Working through a project",Improving my skills with an existing technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,More,"Leadership (Manager, Director, VP, etc)",,,"Analysis, Machine Learning, Summary/Overview, Communication, Exploration, Storytelling",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",7,"IT, Leadership, Data Science/Analytics",10,1,10,2,10,,"Excel, ggplot2, Gephi, Plotly, R, Tableau, Pen & Paper",I'm able to choose my own tools.,"Dashboard, Documents, Presentations","Line Chart, Bar Chart, Pie Chart, Scatterplot, Infographics",Medical Professionals,Moderate,Not tracked / Unknown,"Analysis, Summarization",Collaborative,4,Time and dealing with other urgent issues,More time,The time it takes to prepare and produce something meaningful,5,5,4,availability of source data,Example videos,"Hadley Wickham, Enrico Bertini, Moritz Stefaner, Steven Few, Giorgia Lupi, Stefanie Posavec",Much more,20,Masters,Private sector,Psychology,Man,No,,USA,
Mostly Self-Taught,Working through a project,Improving my data skills,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,More,Engineer,"Less than $20,000",$5.00,"Analysis, Communication, Marketing, Exploration",There are no specialists in data visualization in my organization,Powerpoint,5,"Design, Engineering, Marketing, Research, IT, Data Science/Analytics",1,1,2,3,4,2,"ggplot2, R",I'm able to choose my own tools.,Presentations,"Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap","Analysts, Engineers",Intro,Not tracked / Unknown,"Analysis, Education, Research, PR/Branding",Collaborative,5,Cleaning data,Structure,Dont understand,2,5,4,Statistics,How to make it simple,,More,1,Bachelors,Private sector,Programming,Man,No,Ho Chi Minh city,Vietnam,
Equal Parts School and Self-Taught,"Collaboration with more skilled practitioners, Formal taught courses",Learning a new technical tool or library,No,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,More,Engineer,$120k - $140k,,"Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration, Storytelling, Education",Embedded in another group,"Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",6,"Design, Marketing, Research, IT, Leadership, Data Science/Analytics",4,8,4,0,12,1,"Excel, ggplot2, Power BI, Python, R, Tableau, Matplotlib",We have a set list of tools we're expected to use for data visualization and this causes no issue,"Dashboard, Interactive Notebook, Presentations, Email","Line Chart, Bar Chart, Scatterplot, Hexbin/Heatmap, Treemap, 3D Charts","General Public, Analysts, Engineers, Project Managers","Intro, Moderate, Expert",Weekly,"Analysis, Summarization",Collaborative,4,Lack of time necessary to properly develop visualizations,More story telling,The technical component,4,2,5,More time.,Still getting to know the community at this time but I would love a weekly viz example/workshop.,Ryan Sleeper,Much more,11,Bachelors,Private sector,Business Administration,Man,Yes,Madison,USA,English
Mostly From School (or other formal courses),"Workshops, Examples, Video Tutorials, Working through a project, Mentoring/Teaching others",Improving my skills with an existing technical tool or library,Occasional,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,More,Designer,$60k - $80k,,"Analysis, Summary/Overview, Communication, Marketing, Storytelling",There are no specialists in data visualization in my organization,"Business Intelligence Tools (like Tableau), Hand-crafted in a graphics editor (Illustrator)",7,"Design, Marketing",4,2,2,8,1,1,"ArcGIS, D3, Excel, Gephi, Illustrator, R, Tableau",We have a set list of tools we're expected to use for data visualization and this causes no issue,"Static Web Page, Newspaper or other physical handout","Bar Chart, Scatterplot, Infographics",General Public,Intro,Not tracked / Unknown,"Analysis, Education",Collaborative,4,Availability of data,Better data prep skills,,4,4,5,,,,Much more,0,Masters,Academic,Biology,Man,"No, but I identify as an Ally",Hamilton NJ,USA,
Mostly Self-Taught,Workshops,Learning a new technical tool or library,Occasional,"Data visualization is an important secondary part of my job, but not the focus",Hired to do data visualization,More,Designer,$100k - $120k,$100.00,"Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Impact assessment",Embedded in another group,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",6,"Marketing, Research, Leadership, Data Science/Analytics",2,,,5,5,,"Excel, Highcharts, Illustrator, Mapbox, kepler.gl, Plotly, Power BI, QGIS, Canvas, Matplotlib, Flourish",I'm able to choose my own tools.,"Embedded in a tool, Dashboard, Static Web Page, Documents, Presentations, Email, Newspaper or other physical handout","Line Chart, Bar Chart, Pie Chart, Scatterplot, Hexbin/Heatmap, Infographics, Pictorial Visualization, Network Diagram, Choropleth Map, Raster Map","General Public, Executives",Intro,Quarterly,,,4,,,,5,5,4,,"Need help making sense of the myriad actors, events, handles, listservs, etc related to data viz. Would be nice to have a truly exhaustive list.",,Much more,8,Masters,Not-for-profit,Political science,Man,"No, but I identify as an Ally",Washington DC,USA,
Mostly Self-Taught,"Video Tutorials, Collaboration with more skilled practitioners, Working through a project, Mentoring/Teaching others",Learning a new technical tool or library,Occasional,"Data visualization is an important secondary part of my job, but not the focus",Data visualization is only part of my job,About as much as I expected for this role,Designer,$60k - $80k,,"Summary/Overview, Communication, Education",There are no specialists in data visualization in my organization,Hand-crafted in a graphics editor (Illustrator),5,"Design, Research",10,0,0,10,3,0,"Excel, Illustrator",I'm able to choose my own tools.,"Static Web Page, Documents, Presentations","Line Chart, Bar Chart, Pie Chart, Infographics, Pictorial Visualization","General Public, Elected officials, policy makes","Intro, Moderate",Weekly,"Analysis, Education, PR/Branding",Collaborative,3,"Tight deadlines, lack of time to explore new tools",Better workflow,Overall time and design considerations,4,3,3,,,,Same,15,Bachelors,Private sector,English,Man,No,Rensselaer,USA,
Mostly Self-Taught,"Examples, Working through a project, Mentoring/Teaching others",Improving my data skills,Occasional,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role",Data visualization is only part of my job,About as much as I expected for this role,Scientist,$20k - $40k,,"Analysis, Machine Learning, Summary/Overview, Communication, Marketing, Exploration, Storytelling",There are no specialists in data visualization in my organization,"Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5,"Research, Data Science/Analytics",0,0,30,0,10,0,"Python, Vega",I'm able to choose my own tools.,"Dashboard, Scrollytelling, Interactive Notebook, Presentations","Line Chart, Bar Chart, Scatterplot, Flow Diagram (Sankey, DAGRE, Flow Chart)","Analysts, Scientists, Product Managers, Project Managers, Executives","Moderate, Expert",Not tracked / Unknown,"Analysis, Summarization, Research",Collaborative,4,Data viz should receive more attention and priority.,Given more time for viz work.,That data viz gives the analyst/scientist the necessary data intuition to make the right decision.,3,5,3,Statistical knowledge,Better documentation for existing data viz tools.,Jake VanderPlas,More,3,Bachelors,Private sector,"Business Administration, and Finance",Man,"No, but I identify as an Ally",Ho Chi Minh City,Vietnam,"English, Vietnamese"
